,Date,Winner,Loser,Final Score,Box Score
0,2020-3-10,Boston,Indiana,114 - 111,"<a href=""https://www.basketball-reference.com/boxscores/202003100IND.html"" target=""_blank"">Link</a>"
1,2020-3-8,Indiana,Dallas,112 - 109,"<a href=""https://www.basketball-reference.com/boxscores/202003080DAL.html"" target=""_blank"">Link</a>"
2,2020-3-6,Dallas,Memphis,121 - 96,"<a href=""https://www.basketball-reference.com/boxscores/202003060DAL.html"" target=""_blank"">Link</a>"
3,2020-3-4,Memphis,Brooklyn,118 - 79,"<a href=""https://www.basketball-reference.com/boxscores/202003040BRK.html"" target=""_blank"">Link</a>"
4,2020-3-2,Memphis,Atlanta,127 - 88,"<a href=""https://www.basketball-reference.com/boxscores/202003020ATL.html"" target=""_blank"">Link</a>"
5,2020-2-29,Memphis,LA Lakers,105 - 88,"<a href=""https://www.basketball-reference.com/boxscores/202002290MEM.html"" target=""_blank"">Link</a>"
6,2020-2-27,LA Lakers,Golden State,116 - 86,"<a href=""https://www.basketball-reference.com/boxscores/202002270GSW.html"" target=""_blank"">Link</a>"
7,2020-2-25,LA Lakers,New Orleans,118 - 109,"<a href=""https://www.basketball-reference.com/boxscores/202002250LAL.html"" target=""_blank"">Link</a>"
8,2020-2-23,LA Lakers,Boston,114 - 112,"<a href=""https://www.basketball-reference.com/boxscores/202002230LAL.html"" target=""_blank"">Link</a>"
9,2020-2-21,LA Lakers,Memphis,117 - 105,"<a href=""https://www.basketball-reference.com/boxscores/202002210LAL.html"" target=""_blank"">Link</a>"
10,2020-2-12,LA Lakers,Denver,120 - 116,"<a href=""https://www.basketball-reference.com/boxscores/202002120DEN.html"" target=""_blank"">Link</a>"
11,2020-2-10,Denver,San Antonio,127 - 120,"<a href=""https://www.basketball-reference.com/boxscores/202002100DEN.html"" target=""_blank"">Link</a>"
12,2020-2-8,Denver,Phoenix,117 - 108,"<a href=""https://www.basketball-reference.com/boxscores/202002080PHO.html"" target=""_blank"">Link</a>"
13,2020-2-7,Phoenix,Houston,127 - 91,"<a href=""https://www.basketball-reference.com/boxscores/202002070PHO.html"" target=""_blank"">Link</a>"
14,2020-2-6,Houston,LA Lakers,121 - 111,"<a href=""https://www.basketball-reference.com/boxscores/202002060LAL.html"" target=""_blank"">Link</a>"
15,2020-2-4,Houston,Charlotte,125 - 110,"<a href=""https://www.basketball-reference.com/boxscores/202002040HOU.html"" target=""_blank"">Link</a>"
16,2020-2-2,Houston,New Orleans,117 - 109,"<a href=""https://www.basketball-reference.com/boxscores/202002020HOU.html"" target=""_blank"">Link</a>"
17,2020-1-31,New Orleans,Memphis,139 - 111,"<a href=""https://www.basketball-reference.com/boxscores/202001310NOP.html"" target=""_blank"">Link</a>"
18,2020-1-29,Memphis,New York,127 - 106,"<a href=""https://www.basketball-reference.com/boxscores/202001290NYK.html"" target=""_blank"">Link</a>"
19,2020-1-28,Memphis,Denver,104 - 96,"<a href=""https://www.basketball-reference.com/boxscores/202001280MEM.html"" target=""_blank"">Link</a>"
20,2020-1-26,Memphis,Phoenix,114 - 109,"<a href=""https://www.basketball-reference.com/boxscores/202001260MEM.html"" target=""_blank"">Link</a>"
21,2020-1-24,Phoenix,San Antonio,103 - 99,"<a href=""https://www.basketball-reference.com/boxscores/202001240SAS.html"" target=""_blank"">Link</a>"
22,2020-1-22,San Antonio,New Orleans,121 - 117,"<a href=""https://www.basketball-reference.com/boxscores/202001220NOP.html"" target=""_blank"">Link</a>"
23,2020-1-20,New Orleans,Memphis,126 - 116,"<a href=""https://www.basketball-reference.com/boxscores/202001200MEM.html"" target=""_blank"">Link</a>"
24,2020-1-17,Memphis,Cleveland,113 - 109,"<a href=""https://www.basketball-reference.com/boxscores/202001170MEM.html"" target=""_blank"">Link</a>"
25,2020-1-14,Memphis,Houston,121 - 110,"<a href=""https://www.basketball-reference.com/boxscores/202001140MEM.html"" target=""_blank"">Link</a>"
26,2020-1-12,Memphis,Golden State,122 - 102,"<a href=""https://www.basketball-reference.com/boxscores/202001120MEM.html"" target=""_blank"">Link</a>"
27,2020-1-10,Memphis,San Antonio,134 - 121,"<a href=""https://www.basketball-reference.com/boxscores/202001100MEM.html"" target=""_blank"">Link</a>"
28,2020-1-8,San Antonio,Boston,129 - 114,"<a href=""https://www.basketball-reference.com/boxscores/202001080BOS.html"" target=""_blank"">Link</a>"
29,2020-1-6,San Antonio,Milwaukee,126 - 104,"<a href=""https://www.basketball-reference.com/boxscores/202001060SAS.html"" target=""_blank"">Link</a>"
30,2020-1-4,Milwaukee,San Antonio,127 - 118,"<a href=""https://www.basketball-reference.com/boxscores/202001040MIL.html"" target=""_blank"">Link</a>"
31,2020-1-1,Milwaukee,Minnesota,106 - 104,"<a href=""https://www.basketball-reference.com/boxscores/202001010MIL.html"" target=""_blank"">Link</a>"
32,2019-12-30,Milwaukee,Chicago,123 - 102,"<a href=""https://www.basketball-reference.com/boxscores/201912300CHI.html"" target=""_blank"">Link</a>"
33,2019-12-28,Milwaukee,Orlando,111 - 100,"<a href=""https://www.basketball-reference.com/boxscores/201912280MIL.html"" target=""_blank"">Link</a>"
34,2019-12-27,Orlando,Philadelphia,98 - 97,"<a href=""https://www.basketball-reference.com/boxscores/201912270ORL.html"" target=""_blank"">Link</a>"
35,2019-12-25,Philadelphia,Milwaukee,121 - 109,"<a href=""https://www.basketball-reference.com/boxscores/201912250PHI.html"" target=""_blank"">Link</a>"
36,2019-12-22,Milwaukee,Indiana,117 - 89,"<a href=""https://www.basketball-reference.com/boxscores/201912220MIL.html"" target=""_blank"">Link</a>"
37,2019-12-20,Indiana,Sacramento,119 - 105,"<a href=""https://www.basketball-reference.com/boxscores/201912200IND.html"" target=""_blank"">Link</a>"
38,2019-12-17,Indiana,LA Lakers,105 - 102,"<a href=""https://www.basketball-reference.com/boxscores/201912170IND.html"" target=""_blank"">Link</a>"
39,2019-12-15,Indiana,Charlotte,107 - 85,"<a href=""https://www.basketball-reference.com/boxscores/201912150IND.html"" target=""_blank"">Link</a>"
40,2019-12-13,Indiana,Atlanta,110 - 100,"<a href=""https://www.basketball-reference.com/boxscores/201912130ATL.html"" target=""_blank"">Link</a>"
41,2019-12-11,Indiana,Boston,122 - 117,"<a href=""https://www.basketball-reference.com/boxscores/201912110IND.html"" target=""_blank"">Link</a>"
42,2019-12-9,Boston,Cleveland,110 - 88,"<a href=""https://www.basketball-reference.com/boxscores/201912090BOS.html"" target=""_blank"">Link</a>"
43,2019-12-6,Boston,Denver,108 - 95,"<a href=""https://www.basketball-reference.com/boxscores/201912060BOS.html"" target=""_blank"">Link</a>"
44,2019-12-4,Boston,Miami,112 - 93,"<a href=""https://www.basketball-reference.com/boxscores/201912040BOS.html"" target=""_blank"">Link</a>"
45,2019-12-3,Miami,Toronto,121 - 110,"<a href=""https://www.basketball-reference.com/boxscores/201912030TOR.html"" target=""_blank"">Link</a>"
46,2019-12-1,Miami,Brooklyn,109 - 106,"<a href=""https://www.basketball-reference.com/boxscores/201912010BRK.html"" target=""_blank"">Link</a>"
47,2019-11-29,Brooklyn,Boston,112 - 107,"<a href=""https://www.basketball-reference.com/boxscores/201911290BRK.html"" target=""_blank"">Link</a>"
48,2019-11-27,Boston,Brooklyn,121 - 110,"<a href=""https://www.basketball-reference.com/boxscores/201911270BOS.html"" target=""_blank"">Link</a>"
49,2019-11-25,Brooklyn,Cleveland,108 - 106,"<a href=""https://www.basketball-reference.com/boxscores/201911250CLE.html"" target=""_blank"">Link</a>"
50,2019-11-24,Brooklyn,New York,103 - 101,"<a href=""https://www.basketball-reference.com/boxscores/201911240NYK.html"" target=""_blank"">Link</a>"
51,2019-11-22,Brooklyn,Sacramento,116 - 97,"<a href=""https://www.basketball-reference.com/boxscores/201911220BRK.html"" target=""_blank"">Link</a>"
52,2019-11-19,Sacramento,Phoenix,120 - 116,"<a href=""https://www.basketball-reference.com/boxscores/201911190SAC.html"" target=""_blank"">Link</a>"
53,2019-11-17,Sacramento,Boston,100 - 99,"<a href=""https://www.basketball-reference.com/boxscores/201911170SAC.html"" target=""_blank"">Link</a>"
54,2019-11-15,Boston,Golden State,105 - 100,"<a href=""https://www.basketball-reference.com/boxscores/201911150GSW.html"" target=""_blank"">Link</a>"
55,2019-11-13,Boston,Washington,140 - 133,"<a href=""https://www.basketball-reference.com/boxscores/201911130BOS.html"" target=""_blank"">Link</a>"
56,2019-11-11,Boston,Dallas,116 - 106,"<a href=""https://www.basketball-reference.com/boxscores/201911110BOS.html"" target=""_blank"">Link</a>"
57,2019-11-9,Boston,San Antonio,135 - 115,"<a href=""https://www.basketball-reference.com/boxscores/201911090SAS.html"" target=""_blank"">Link</a>"
58,2019-11-7,Boston,Charlotte,108 - 87,"<a href=""https://www.basketball-reference.com/boxscores/201911070CHO.html"" target=""_blank"">Link</a>"
59,2019-11-5,Boston,Cleveland,119 - 113,"<a href=""https://www.basketball-reference.com/boxscores/201911050CLE.html"" target=""_blank"">Link</a>"
60,2019-11-1,Boston,New York,104 - 102,"<a href=""https://www.basketball-reference.com/boxscores/201911010BOS.html"" target=""_blank"">Link</a>"
61,2019-10-30,Boston,Milwaukee,116 - 105,"<a href=""https://www.basketball-reference.com/boxscores/201910300BOS.html"" target=""_blank"">Link</a>"
62,2019-10-26,Boston,New York,118 - 95,"<a href=""https://www.basketball-reference.com/boxscores/201910260NYK.html"" target=""_blank"">Link</a>"
63,2019-10-25,Boston,Toronto,112 - 106,"<a href=""https://www.basketball-reference.com/boxscores/201910250BOS.html"" target=""_blank"">Link</a>"
64,2019-10-22,Toronto,New Orleans,130 - 122,"<a href=""https://www.basketball-reference.com/boxscores/201910220TOR.html"" target=""_blank"">Link</a>"
